Country	Type	Mountain	Latitude	Longitude	Elevation
India	Mountain	Kakkir Malai Mountain	??????	??????	1015 m: unable to parse Latitude - ??????
Italy	Mountain	Cimon della Pala    46.287224	11.820728	3185 m: Incorrect number of records - 5
Australia	Mountain	Intermediate Hill	-31.5492823773527	159.087181091309	249.7: Unable to parse elevation - 249.7
Australia	Mountain	Black Johnnys Tier	-42.043811	146.954842 1082 m: Incorrect number of records - 5
Australia	Mountain	Prospect Mount	-33.8215358	150.915093	138.3: Unable to parse elevation - 138.3
Australia	Mountain	Cobbitty Hill	-33.9833505	150.6961051	186.6: Unable to parse elevation - 186.6
Australia	Mountain	Cecil Hill	-33.8802505	150.8331016	153.1: Unable to parse elevation - 153.1
Australia	Mountain	Little Mountain	-33.9488034	150.6269899	155.5: Unable to parse elevation - 155.5
Australia	Mountain	Smith's Hill	??????	??????	67 m: unable to parse Latitude - ??????
Australia	Mountain	Mount Tunbubudla West	-26.963235 152.901278	294 m: Incorrect number of records - 5
Australia    Mountain	Lowes Mount	-33.619265	149.834375	1150 m: Incorrect number of records - 5
Australia	Mountain	Pyramid Hill	-36.051717	144.139816	193m: Unable to parse elevation - 193m
Australia	Mountain	Pyungoorup Peak	-34.3585295718886	118.328075408936	1053.5: Unable to parse elevation - 1053.5
Australia	Mountain	Mount Lockyer	-22.457122	118.772936 1005 m: Incorrect number of records - 5
Australia	Mountain	Mount Barnett	-16.750879	125.939541 540 m: Incorrect number of records - 5
Australia	Mountain	Post Office Hill	-18.1566176312595	125.578279495239	129.6: Unable to parse elevation - 129.6
Australia	Mountain	Mount Nicolay    -27.110020	116.359463	358 m: Incorrect number of records - 5
Australia	Mountain	Prominent Hill	-26419	121.482439	546 m: Latitude out of range - -26419.0
Australia	Mountain	Teedermully Hill	-32.786553	116.612492	390 ??: Elevation units invalid - ??
Australia	Mountain	Blue Hill    -29.590923	119.574766	402 m: Incorrect number of records - 5
Australia	Mountain	Bare Hill	-31.050507	122.161531	362m: Unable to parse elevation - 362m
Australia	Mountain	Haast Bluff	-23.364871	132010	1118 m: Longitude out of range - 132010.0
Australia	Mountain	McDonald Peak	-28.254342	134.751005	???? m: Unable to parse elevation - ???? m
Australia	Mountain	Coyanarup Peak	-34.385237701741	118.248081207275	1015.5: Unable to parse elevation - 1015.5
Australia	Mountain	Davis Hill    -20.932583	140.615988	385 m: Incorrect number of records - 5
Australia	Mountain	Mount Fitz    -22.459264	150.261297	279 m: Incorrect number of records - 5
